index,dba,make,make_slug,model,model_slug,light_type,spectrum_type,spectrum_description,PPF,efficacy_umol_joule,Hz_low,Hz_high,VAC_low,VAC_high,max_Watts,flowering_footprint_length_ft,flowering_footprint_width_ft,veg_footprint_length_ft,veg_footprint_width_ft,flowering_mounting_height_min_inches,flowering_mounting_height_max_inches,veg_mounting_height_min_inches,veg_mounting_height_max_inches,Thermal Management,max_ambient_temperature_c,max_ambient_temperature_f,dimmable,dimming_options,dimensions_length_inches,dimensions_width_inches,dimensions_height_inches,weight_lb,lifespan_hours,Warranty_years,Certifications,price,pdf,img,url,affiliate_url,data_timestamp
L-0040,Mammoth,Mammoth Lighting,mammoth_lighting,6 Bar Nova Sun Series,6-bar,LED,Fixed,Sunlike CMH Spectrum with Emerald Green & Dual Red Terp Boost,1944,2.7,50,60,120,277,720,4,4,5,5,12,18,18,24,Passive,40,104,TRUE,Manual Dimmer + RJ12 port,44,44,4,30,50000,5,"IP65, DLC",700,2026_Spec_Sheet.pdf,6-bar.png,https://mammothlighting.com/products/nova-sun-series-with-emerald-green-red-terp-boost-spectrum,,2026-07-07
L-0041,Mammoth,Mammoth Lighting,mammoth_lighting,6 Bar Veg + Mom Series,6-bar-veg-mom,LED,Fixed,"Enhanced Blue + Sunlike CMH Spectrum with Emerald Green & Dual Red Terp Boost. Enhanced Blue for more compact growth and deeper green – perfect for clone, veg, moms or equatorial strains",1872,2.6,50,60,120,277,820,4,4,5,5,12,18,18,24,Passive,40,104,TRUE,0-10v / 1 Knob,44,44,4,30,50000,5,IP65,750,2026_Spec_Sheet.pdf,6-bar-veg-mom.png,https://mammothlighting.com/products/the-new-clone-early-veg-mom-series-mammoth-fold-4-bars-430w-led-grow-light,,2026-07-07
L-0042,Mammoth,Mammoth Lighting,mammoth_lighting,Greenhouse + Highbay Nova Sun Series,greenhouse-highbay,LED,Fixed,The Nova Sun Series introduces a refined spectrum featuring dual red peaks—640nm and 660nm—rather than the industry-standard single peak.,1877,2.61,50,60,120,277,820,6,5,7,6,12,18,18,24,Passive,40,104,TRUE,0-10v / 1 Knob,44,5,5,20,50000,5,"IP65, DLC",1000,2026_Spec_Sheet.pdf,greenhouse-highbay.png,https://mammothlighting.com/products/greenhouse-highbay-top-light-led-630w-samsung-lm301b-etl-listed-replace-fluence-vypr,,2026-07-07
L-0043,Mammoth,Mammoth Lighting,mammoth_lighting,Multi-Use Bars / Undercanopy,multi-use-bar,LED,Fixed,Corrects red/blue-heavy or incomplete spectrums,405,2.7,50,60,120,277,150,2.5,2.5,3,3,12,18,18,24,Passive,40,104,TRUE,0-10v / 1 Knob + RJ12 in/out ports,40,4,4,5,50000,1,IP65,400,2026_Spec_Sheet.pdf,multi-use-bar.png,https://mammothlighting.com/products/nova-sun-series-multi-use-bars-inter-canopy-side-lighting-under-canopy-overhead,,2026-07-07
L-0044,Spider Farmer,Spider Farmer,spider_farmer,G3000,g3000,LED,Full,"660-665nm, 730-740nm, 2800-3000k, 4800-5000k",824,2.8,50,60,100,277,300,3,3,2,2,12,18,18,24,Passive,35,95,TRUE,0-10V,23.73,23.01,2.8,11.68,80000,5,,230,G-User-Manual.pdf,g3000.png,https://www.spider-farmer.com/products/spider-farmer-g300w-cost-effective-full-spectrum-led-grow-light,,2026-07-07
L-0045,Spider Farmer,Spider Farmer,spider_farmer,G1000,g1000,LED,Full,Bridgelux,2940,2.9,50,60,100,277,1000,5,5,4,4,12,18,18,24,Passive,35,95,TRUE,0-10V,44.17,45.39,3.08,23.17,80000,5,,780,G-User-Manual.pdf,g1000.png,https://www.spider-farmer.com/products/spider-farmer-g-1000w-led-grow-light,,2026-07-07
L-0046,Spider Farmer,Spider Farmer,spider_farmer,G4500,g4500,LED,Full,Bridgelux,913,2.85,50,60,100,277,320,5,3,4,2,12,18,18,24,Passive,35,95,TRUE,0-10V,45.35,14.49,3.03,10.23,80000,5,,270,G-User-Manual.pdf,g4500.png,https://www.spider-farmer.com/products/spider-farmer-g4500-cost-effective-full-spectrum-led-grow-light,,2026-07-07
L-0047,Spider Farmer,Spider Farmer,spider_farmer,G5000,g5000,LED,Full,Bridgelux,1420,2.85,50,60,100,277,480,4,4,3,3,12,18,18,24,Passive,35,95,TRUE,0-10V,33.63,33.56,3.04,14.59,80000,5,,370,G-User-Manual.pdf,g5000.png,https://www.spider-farmer.com/products/spider-farmer-g5000-led-grow-light,,2026-07-07
L-0048,Spider Farmer,Spider Farmer,spider_farmer,G8600,g8600,LED,Full,Bridgelux,2283,2.85,50,60,100,277,800,5,5,4,4,12,18,18,24,Passive,35,95,TRUE,0-10V,44.17,45.39,3.27,21.65,80000,5,,570,G-User-Manual.pdf,g8600.png,https://www.spider-farmer.com/products/spider-farmer-g860w-led-grow-light,,2026-07-07
L-0049,Spider Farmer,Spider Farmer,spider_farmer,SE5000,se5000,LED,Full,Bridgelux,1420,2.9,50,60,100,277,480,4,4,3,3,12,18,18,24,Passive,35,95,TRUE,0-10V,33.6,33.56,3.04,14.59,100000,5,,410,SE-User-Manual.pdf,se5000.png,https://www.spider-farmer.com/products/spider-farmer-upgraded-se5000-full-spectrum-led-grow-light,,2026-07-07
L-0050,Spider Farmer,Spider Farmer,spider_farmer,SE1000,se1000,LED,Full,Bridgelux,2940,2.9,50,60,100,277,1000,5,5,4,4,12,18,18,24,Passive,35,95,TRUE,0-10V,44.17,45.38,3.08,23.17,100000,5,,820,SE-User-Manual.pdf,se1000.png,https://www.spider-farmer.com/products/spider-farmer-se-1000w-led-grow-light,,2026-07-07
